pattern_id,variant_id,category,pattern_name,variant_desc,dtype,difficulty,compiler_fixable,num_loops,num_arrays,lines_of_code,expected_speedup_range
COMP,COMP_v018,Composed,Multiple Overlapping Patterns,"Triple: invariant call + branch + temps, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v019,Composed,Multiple Overlapping Patterns,"Hoistable branch + column-major access, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v020,Composed,Multiple Overlapping Patterns,"AoS dense over sparse vs SoA skip-zero, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v022,Composed,Multiple Overlapping Patterns,"Redundant aggregation + column-major, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v023,Composed,Multiple Overlapping Patterns,"Noinline loop-invariant scale + hoistable branch, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v024,Composed,Multiple Overlapping Patterns,"Linear branchy vs binary branchless search, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v025,Composed,Multiple Overlapping Patterns,"Linear branchy vs binary branchless search, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v026,Composed,Multiple Overlapping Patterns,"Triple: temps + bounds + cache, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v027,Composed,Multiple Overlapping Patterns,"Invariant function call + defensive checks, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v028,Composed,Multiple Overlapping Patterns,"Redundant aggregation + column-major, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v029,Composed,Multiple Overlapping Patterns,"Noinline log-scale + bounds check + temps, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v030,Composed,Multiple Overlapping Patterns,"Invariant function call + defensive checks, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v031,Composed,Multiple Overlapping Patterns,"Invariant function call + defensive checks, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v032,Composed,Multiple Overlapping Patterns,"Hoistable branch + column-major access, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v033,Composed,Multiple Overlapping Patterns,"Hoistable branch + column-major access, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v034,Composed,Multiple Overlapping Patterns,"Noinline log-scale + bounds check + temps, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v035,Composed,Multiple Overlapping Patterns,"Noinline loop-invariant scale + hoistable branch, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v036,Composed,Multiple Overlapping Patterns,"Brute scan vs hash-table lookup, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v037,Composed,Multiple Overlapping Patterns,"Recursive 2D DP col-major vs iterative row-major, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v038,Composed,Multiple Overlapping Patterns,"Noinline log-scale + bounds check + temps, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v039,Composed,Multiple Overlapping Patterns,"Linear branchy vs binary branchless search, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v040,Composed,Multiple Overlapping Patterns,"Sparse vec x col-major matrix vs sparse fast + row-major, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v041,Composed,Multiple Overlapping Patterns,"Noinline log-scale + bounds check + temps, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v042,Composed,Multiple Overlapping Patterns,"Recursive Fib + noinline lookup vs iterative + hoist, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v043,Composed,Multiple Overlapping Patterns,"Invariant function call + defensive checks, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v044,Composed,Multiple Overlapping Patterns,"Noinline log-scale + bounds check + temps, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v045,Composed,Multiple Overlapping Patterns,"Parallel arrays vs tagged pointers + lookup [CedarDB DaMoN24], float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v046,Composed,Multiple Overlapping Patterns,"Redundant aggregation + column-major, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v047,Composed,Multiple Overlapping Patterns,"Noinline penalty + temp decomposition, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v048,Composed,Multiple Overlapping Patterns,"Noinline loop-invariant scale + hoistable branch, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v049,Composed,Multiple Overlapping Patterns,"Recursive 2D DP col-major vs iterative row-major, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v050,Composed,Multiple Overlapping Patterns,"Linear branchy vs binary branchless search, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v051,Composed,Multiple Overlapping Patterns,"Hoistable branch + column-major access, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v052,Composed,Multiple Overlapping Patterns,"Noinline loop-invariant scale + hoistable branch, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v053,Composed,Multiple Overlapping Patterns,"Triple: invariant call + branch + temps, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v054,Composed,Multiple Overlapping Patterns,"Noinline loop-invariant scale + hoistable branch, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v055,Composed,Multiple Overlapping Patterns,"Triple: invariant call + branch + temps, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v056,Composed,Multiple Overlapping Patterns,"Top-down DP descent vs bottom-up sequential, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v057,Composed,Multiple Overlapping Patterns,"AoS dense over sparse vs SoA skip-zero, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v059,Composed,Multiple Overlapping Patterns,"Noinline log-scale + bounds check + temps, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v060,Composed,Multiple Overlapping Patterns,"Linear branchy vs binary branchless search, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v061,Composed,Multiple Overlapping Patterns,"Linear branchy vs binary branchless search, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v062,Composed,Multiple Overlapping Patterns,"Wide AoS stride access + redundant bounds, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v063,Composed,Multiple Overlapping Patterns,"qsort + per-elem noinline vs detect-sorted + hoist, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v064,Composed,Multiple Overlapping Patterns,"Invariant function call + defensive checks, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v065,Composed,Multiple Overlapping Patterns,"Invariant function call + defensive checks, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v066,Composed,Multiple Overlapping Patterns,"Wide struct vs hot/cold split [Abseil Tip 62], int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v067,Composed,Multiple Overlapping Patterns,"Invariant function call + defensive checks, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v068,Composed,Multiple Overlapping Patterns,"Noinline loop-invariant scale + hoistable branch, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v070,Composed,Multiple Overlapping Patterns,"Wide struct vs hot/cold split [Abseil Tip 62], int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v071,Composed,Multiple Overlapping Patterns,"Redundant aggregation + column-major, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v072,Composed,Multiple Overlapping Patterns,"Per-chunk memcpy vs shared buffer + selection [DuckDB SIGMOD25], float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v073,Composed,Multiple Overlapping Patterns,"Top-down DP descent vs bottom-up sequential, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v074,Composed,Multiple Overlapping Patterns,"Recursive 2D DP col-major vs iterative row-major, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v075,Composed,Multiple Overlapping Patterns,"Recursive 2D DP col-major vs iterative row-major, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v076,Composed,Multiple Overlapping Patterns,"Triple: temps + bounds + cache, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v077,Composed,Multiple Overlapping Patterns,"Q4_K blocks scattered vs Q4_K_x8 interleaved [llama.cpp #12332], int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v078,Composed,Multiple Overlapping Patterns,"Per-element input branch vs split-pass vectorize, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v079,Composed,Multiple Overlapping Patterns,"Sparse vec x col-major matrix vs sparse fast + row-major, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v080,Composed,Multiple Overlapping Patterns,"Noinline log-scale + bounds check + temps, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v081,Composed,Multiple Overlapping Patterns,"Recursive Fib + noinline lookup vs iterative + hoist, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v082,Composed,Multiple Overlapping Patterns,"Per-chunk memcpy vs shared buffer + selection [DuckDB SIGMOD25], float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v084,Composed,Multiple Overlapping Patterns,"qsort + per-elem noinline vs detect-sorted + hoist, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v085,Composed,Multiple Overlapping Patterns,"Noinline log-scale + bounds check + temps, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v086,Composed,Multiple Overlapping Patterns,"Brute scan vs hash-table lookup, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v087,Composed,Multiple Overlapping Patterns,"Noinline log-scale + bounds check + temps, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v088,Composed,Multiple Overlapping Patterns,"Noinline log-scale + bounds check + temps, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v089,Composed,Multiple Overlapping Patterns,"AoS dense over sparse vs SoA skip-zero, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v090,Composed,Multiple Overlapping Patterns,"Sparse vec x col-major matrix vs sparse fast + row-major, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v091,Composed,Multiple Overlapping Patterns,"Per-element input branch vs split-pass vectorize, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v092,Composed,Multiple Overlapping Patterns,"AoS dense over sparse vs SoA skip-zero, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v093,Composed,Multiple Overlapping Patterns,"Top-down DP descent vs bottom-up sequential, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v094,Composed,Multiple Overlapping Patterns,"Triple: temps + bounds + cache, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v095,Composed,Multiple Overlapping Patterns,"Hoistable branch + column-major access, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v096,Composed,Multiple Overlapping Patterns,"Hoistable branch + column-major access, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v097,Composed,Multiple Overlapping Patterns,"Noinline log-scale + bounds check + temps, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v098,Composed,Multiple Overlapping Patterns,"Brute scan vs hash-table lookup, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v099,Composed,Multiple Overlapping Patterns,"Per-element input branch vs split-pass vectorize, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v100,Composed,Multiple Overlapping Patterns,"Triple: invariant call + branch + temps, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v101,Composed,Multiple Overlapping Patterns,"Triple: invariant call + branch + temps, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v102,Composed,Multiple Overlapping Patterns,"Wide struct vs hot/cold split [Abseil Tip 62], int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v103,Composed,Multiple Overlapping Patterns,"Triple: invariant call + branch + temps, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v104,Composed,Multiple Overlapping Patterns,"AoS dense over sparse vs SoA skip-zero, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v105,Composed,Multiple Overlapping Patterns,"Redundant aggregation + column-major, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v106,Composed,Multiple Overlapping Patterns,"Noinline log-scale + bounds check + temps, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v107,Composed,Multiple Overlapping Patterns,"Recursive 2D DP col-major vs iterative row-major, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v108,Composed,Multiple Overlapping Patterns,"Redundant aggregation + column-major, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v109,Composed,Multiple Overlapping Patterns,"Per-chunk memcpy vs shared buffer + selection [DuckDB SIGMOD25], float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v110,Composed,Multiple Overlapping Patterns,"Redundant aggregation + column-major, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v111,Composed,Multiple Overlapping Patterns,"Wide struct vs hot/cold split [Abseil Tip 62], float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v112,Composed,Multiple Overlapping Patterns,"Wide AoS stride access + redundant bounds, double",double,hard,False,2,2,15,10x-1000x
